Symbol,Name,Sector,Location,CIK,Founded
IBM,International Business Machines,Information Technology,"Armonk, New York",0000051143,"1911
"
IP,International Paper,Materials,"Memphis, Tennessee",0000051434,"1898
"
IPG,Interpublic Group,Consumer Discretionary,"New York, New York","0000051644
","
"
IFF,Intl Flavors & Fragrances,Materials,"New York, New York","0000051253
","
"
INTU,Intuit Inc.,Information Technology,"Mountain View, California","0000896878
","
"
ISRG,Intuitive Surgical Inc.,Health Care,"Sunnyvale, California","0001035267
","
"
IVZ,Invesco Ltd.,Financials,"Atlanta, Georgia","0000914208
","
"
IPGP,IPG Photonics Corp.,Information Technology,"Oxford, Massachusetts","0001111928
","
"
IQV,IQVIA Holdings Inc.,Health Care,"Durham, North Carolina","0001478242
","
"
IRM,Iron Mountain Incorporated,Real Estate,"Boston, Massachusetts","0001020569
","
"
JBHT,J. B. Hunt Transport Services,Industrials,"Lowell, Arkansas","0000728535
","
"
JEC,Jacobs Engineering Group,Industrials,"Pasadena, California","0000052988
","
"
JEF,Jefferies Financial Group,Financials,"New York, New York","0000096223
","
"
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio","0000091419
","
"
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",0000200406,"1886
"
JCI,Johnson Controls International,Industrials,"Cork, Ireland","0000833444
","
"
JPM,JPMorgan Chase & Co.,Financials,"New York, New York","0000019617
","
"
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",0001043604,"1996
"
KSU,Kansas City Southern,Industrials,"Kansas City, Missouri","0000054480
","
"
K,Kellogg Co.,Consumer Staples,"Battle Creek, Michigan",0000055067,"1906
"
KEY,KeyCorp,Financials,"Cleveland, Ohio","0000091576
","
"
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",0000055785,"1872
"
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York","0000879101
","
"
KMI,Kinder Morgan,Energy,"Houston, Texas","0001506307
","
"
KLAC,KLA-Tencor Corp.,Information Technology,"Milpitas, California",0000319201,"1975/1977 (1997)
"
KSS,Kohl's Corp.,Consumer Discretionary,"Menomonee Falls, Wisconsin",0000885639,"1962
"
KHC,Kraft Heinz Co,Consumer Staples,"Pittsburgh, Pennsylvania","0001637459
","
"
KR,Kroger Co.,Consumer Staples,"Cincinnati, Ohio",0000056873,"1883
"
LB,L Brands Inc.,Consumer Discretionary,"Columbus, Ohio","0000701985
","
"
LLL,L-3 Communications Holdings,Industrials,"New York, New York",0001056239,"1997
"
LH,Laboratory Corp. of America Holding,Health Care,"Burlington, North Carolina","0000920148
","
"
LRCX,Lam Research,Information Technology,"Fremont, California","0000707549
","
"
LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri",0000058492,"1883
"
LEN,Lennar Corp.,Consumer Discretionary,"Miami, Florida","0000920760
","
"
LLY,Lilly (Eli) & Co.,Health Care,"Indianapolis, Indiana",0000059478,"1876
"
LNC,Lincoln National,Financials,"Radnor, Pennsylvania","0000059558
","
"
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois","0001065696
","
"
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland","0000936468
","
"
L,Loews Corp.,Financials,"New York, New York","0000060086
","
"
LOW,Lowe's Cos.,Consumer Discretionary,"Mooresville, North Carolina",0000060667,"1904/1946/1959
"
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands","0001489393
","
"
MTB,M&T Bank Corp.,Financials,"Buffalo, New York",0000036270,"1856
"
MAC,Macerich,Real Estate,"Santa Monica, California","0000912242
","
"
M,Macy's Inc.,Consumer Discretionary,"Cincinnati, Ohio",0000794367,"1929
"
MRO,Marathon Oil Corp.,Energy,"Houston, Texas","0000101778
","
"
MPC,Marathon Petroleum,Energy,"Findlay, Ohio","0001510295
","
"
MAR,Marriott Int'l.,Consumer Discretionary,"Bethesda, Maryland",0001048286,"1927
"
MMC,Marsh & McLennan,Financials,"New York, New York","0000062709
","
"
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina","0000916076
","
"
MAS,Masco Corp.,Industrials,"Taylor, Michigan","0000062996
","
"
MA,Mastercard Inc.,Information Technology,"Harrison, New York","0001141391
","
"
MAT,Mattel Inc.,Consumer Discretionary,"El Segundo, California","0000063276
","
"
MKC,McCormick & Co.,Consumer Staples,"Sparks, Maryland",0000063754,"1889
"
MCD,McDonald's Corp.,Consumer Discretionary,"Chicago, Illinois",0000063908,"1940
"
MCK,McKesson Corp.,Health Care,"San Francisco, California",0000927653,"1833
"
MDT,Medtronic plc,Health Care,,"0000064670
","
"
MRK,Merck & Co.,Health Care,"Whitehouse Station, New Jersey",0000310158,"1891
"
MET,MetLife Inc.,Financials,"New York, New York",0001099219,"1868
"
MTD,Mettler Toledo,Health Care,"Columbus, Ohio","0001037646
","
"
MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada","0000789570
","
"
KORS,Michael Kors Holdings,Consumer Discretionary,"New York, New York","0001530721
","
"
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona","0000827054
","
"
MU,Micron Technology,Information Technology,"Boise, Idaho","0000723125
","
"
MSFT,Microsoft Corp.,Information Technology,"Redmond, Washington","0000789019
","
"
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee","0000912595
","
"
MHK,Mohawk Industries,Consumer Discretionary,"Amsterdam, New York","0000851968
","
"
TAP,Molson Coors Brewing Company,Consumer Staples,"Denver, Colorado","0000024545
","
"
MDLZ,Mondelez International,Consumer Staples,"Northfield, Illinois","0001103982
","
"
MNST,Monster Beverage,Consumer Staples,"Corona, California","0000865752
","
"
MCO,Moody's Corp,Financials,"New York, New York",0001059556,"1909
"
MS,Morgan Stanley,Financials,"New York, New York",0000895421,"1935
"
MSI,Motorola Solutions Inc.,Information Technology,"Schaumburg, Illinois",0000068505,"1928 (2011)
"
MSCI,MSCI Inc,Financials,"New York, New York","0001408198
","
"
MYL,Mylan N.V.,Health Care,,"0000069499
","
"
NDAQ,"Nasdaq, Inc.",Financials,"New York, New York","0001120193
","
"
NOV,National Oilwell Varco Inc.,Energy,"Houston, Texas","0001021860
","
"
NKTR,Nektar Therapeutics,Health Care,"San Francisco, California","0000906709
","
"
NTAP,NetApp,Information Technology,"Sunnyvale, California","0001002047
","
"
NFLX,Netflix Inc.,Information Technology,"Los Gatos, California","0001065280
","
"
NWL,Newell Brands,Consumer Discretionary,"Sandy Springs, Georgia","0000814453
","
"
NFX,Newfield Exploration Co,Energy,"Houston, Texas","0000912750
","
"
NEM,Newmont Mining Corporation,Materials,"Denver, Colorado",0001164727,"1921
"
NWSA,News Corp. Class A,Consumer Discretionary,"New York, New York","0001564708
","
"
NWS,News Corp. Class B,Consumer Discretionary,"New York, New York","0001564708
","
"
NEE,NextEra Energy,Utilities,"Juno Beach, Florida","0000753308
","
"
NLSN,Nielsen Holdings,Industrials,"New York, New York","0001492633
","
"
NKE,Nike,Consumer Discretionary,"Washington County, Oregon","0000320187
","
"
NI,NiSource Inc.,Utilities,"Merrillville, Indiana",0001111711,"1912
"
NBL,Noble Energy Inc,Energy,"Houston, Texas","0000072207
","
"
JWN,Nordstrom,Consumer Discretionary,"Seattle, Washington","0000072333
","
"
NSC,Norfolk Southern Corp.,Industrials,"Norfolk, Virginia",0000702165,"1881/1894 (1980)
"
NTRS,Northern Trust Corp.,Financials,"Chicago, Illinois",0000073124,"1889
"
NOC,Northrop Grumman Corp.,Industrials,"West Falls Church, Virginia","0001133421
","
"
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Miami, Florida","0001513761
","
"
NRG,NRG Energy,Utilities,"Princeton, New Jersey","0001013871
","
"
NUE,Nucor Corp.,Materials,"Charlotte, North Carolina","0000073309
","
"
NVDA,Nvidia Corporation,Information Technology,"Santa Clara, California","0001045810
","
"
ORLY,O'Reilly Automotive,Consumer Discretionary,"Springfield, Missouri","0000898173
","
"
OXY,Occidental Petroleum,Energy,"Los Angeles, California","0000797468
","
"
OMC,Omnicom Group,Consumer Discretionary,"New York, New York",0000029989,"1986
"
OKE,ONEOK,Energy,"Tulsa, Oklahoma","0001039684
","
"
ORCL,Oracle Corp.,Information Technology,"Redwood Shores, California","0001341439
","
"
PCAR,PACCAR Inc.,Industrials,"Bellevue, Washington","0000075362
","
"
PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois","0000075677
","
"
PH,Parker-Hannifin,Industrials,"Cleveland, Ohio","0000076334
","
"
PAYX,Paychex Inc.,Information Technology,"Penfield, New York",0000723531,"1971
"
PYPL,PayPal,Information Technology,"San Jose, California","0001633917
","
"
PNR,Pentair plc,Industrials,"Worsley, UK","0000077360
","
"
PBCT,People's United Financial,Financials,"Bridgeport, Connecticut","0001378946
","
"
PEP,PepsiCo Inc.,Consumer Staples,"Purchase, New York",0000077476,"1898
"
PKI,PerkinElmer,Health Care,"Waltham, Massachusetts","0000031791
","
"
PRGO,Perrigo,Health Care,"Dublin, Ireland","0001585364
","
"
PFE,Pfizer Inc.,Health Care,"New York, New York",0000078003,"1849
"
PCG,PG&E Corp.,Utilities,"San Francisco, California",0001004980,"1905
"
PM,Philip Morris International,Consumer Staples,"New York, New York","0001413329
","
"
PSX,Phillips 66,Energy,"Houston, Texas","0001534701
","
"
PNW,Pinnacle West Capital,Utilities,"Phoenix, Arizona",0000764622,"1985
"
PXD,Pioneer Natural Resources,Energy,"Irving, Texas","0001038357
","
"
PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania","0000713676
","
"
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"New York, New York","0001037038
","
"
PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",0000079879,"1883
"
PPL,PPL Corp.,Utilities,"Allentown, Pennsylvania","0000922224
","
"
PX,Praxair Inc.,Materials,"Danbury, Connecticut","0000884905
","
"
PFG,Principal Financial Group,Financials,"Des Moines, Iowa","0001126328
","
"
PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",0000080424,"1837
"
PGR,Progressive Corp.,Financials,"Mayfield Village, Ohio","0000080661
","
"
PLD,Prologis,Real Estate,"San Francisco, California","0001045609
","
"
PRU,Prudential Financial,Financials,"Newark, New Jersey","0001137774
","
"
PEG,Public Serv. Enterprise Inc.,Utilities,"Newark, New Jersey","0000788784
","
"
PSA,Public Storage,Real Estate,"Glendale, California","0001393311
","
"
PHM,Pulte Homes Inc.,Consumer Discretionary,"Atlanta, Georgia","0000822416
","
"
PVH,PVH Corp.,Consumer Discretionary,"New York, New York","0000078239
","
"
QRVO,Qorvo,Information Technology,"Greensboro, North Carolina","0001604778
","
"
QCOM,QUALCOMM Inc.,Information Technology,"San Diego, California",0000804328,"1985
"
PWR,Quanta Services Inc.,Industrials,"Houston, Texas","0001050915
","
"
DGX,Quest Diagnostics,Health Care,"Madison, New Jersey","0001022079
","
"
RJF,Raymond James Financial Inc.,Financials,"St. Petersburg, Florida","0000720005
","
"
RTN,Raytheon Co.,Industrials,"Waltham, Massachusetts",0001047122,"1922
"
O,Realty Income Corporation,Real Estate,"San Diego, California","0000726728
","
"
RHT,Red Hat Inc.,Information Technology,"Raleigh, North Carolina","0001087423
","
"
REG,Regency Centers Corporation,Real Estate,"Jacksonville, Florida","0000910606
","
"
REGN,Regeneron,Health Care,"Tarrytown, New York","0000872589
","
"
RF,Regions Financial Corp.,Financials,"Birmingham, Alabama","0001281761
","
"
RSG,Republic Services Inc,Industrials,"Phoenix, Arizona","0001060391
","
"
RMD,ResMed,Health Care,"San Diego, California","0000943819
","
"
RHI,Robert Half International,Industrials,"Menlo Park, California","0000315213
","
"
ROK,Rockwell Automation Inc.,Industrials,"Milwaukee, Wisconsin","0001024478
","
"
COL,Rockwell Collins,Industrials,"Cedar Rapids, Iowa","0001137411
","
"
ROP,Roper Technologies,Industrials,"Sarasota, Florida","0000882835
","
"
ROST,Ross Stores,Consumer Discretionary,"Pleasanton, California","0000745732
","
"
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Miami, Florida","0000884887
","
"
SPGI,"S&P Global, Inc.",Financials,"New York, New York","0000064040
","
"
CRM,Salesforce.com,Information Technology,"San Francisco, California","0001108524
","
"
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida","0001034054
","
"
SCG,SCANA Corp,Utilities,"Cayce, South Carolina","0000754737
","
"
SLB,Schlumberger Ltd.,Energy,,0000087347,"1926
"
STX,Seagate Technology,Information Technology,"Dublin, Ireland","0001137789
","
"
SEE,Sealed Air,Materials,"Elmwood Park, New Jersey","0001012100
","
"
SRE,Sempra Energy,Utilities,"San Diego, California","0001032208
","
"
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",0000089800,"1866
"
SPG,Simon Property Group Inc,Real Estate,"Indianapolis, Indiana","0001063761
","
"
SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts","0000004127
","
"
SLG,SL Green Realty,Real Estate,"New York, New York","0001040971
","
"
SNA,Snap-On Inc.,Consumer Discretionary,"Kenosha, Wisconsin","0000091440
","
"
SO,Southern Co.,Utilities,"Atlanta, Georgia","0000092122
","
"
LUV,Southwest Airlines,Industrials,"Dallas, Texas","0000092380
","
"
SWK,Stanley Black & Decker,Consumer Discretionary,"New Britain, Connecticut","0000093556
","
"
SBUX,Starbucks Corp.,Consumer Discretionary,"Seattle, Washington",0000829224,"1971
"
STT,State Street Corp.,Financials,"Boston, Massachusetts","0000093751
","
"
SRCL,Stericycle Inc,Industrials,"Lake Forest, Illinois","0000861878
","
"
SYK,Stryker Corp.,Health Care,"Kalamazoo, Michigan","0000310764
","
"
STI,SunTrust Banks,Financials,"Atlanta, Georgia","0000750556
","
"
SIVB,SVB Financial,Financials,"Santa Clara, California","0000719739
","
"
SYMC,Symantec Corp.,Information Technology,"Mountain View, California","0000849399
","
"
SYF,Synchrony Financial,Financials,"Stamford, Connecticut","0001601712
","
"
SNPS,Synopsys Inc.,Information Technology,"Mountain View, California","0000883241
","
"
SYY,Sysco Corp.,Consumer Staples,"Houston, Texas","0000096021
","
"
TROW,T. Rowe Price Group,Financials,"Baltimore, Maryland",0001113169,"1937
"
TTWO,Take-Two Interactive,Information Technology,"New York, New York","0000946581
","
"
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York, New York",0001116132,"2017
"
TGT,Target Corp.,Consumer Discretionary,"Minneapolis, Minnesota","0000027419
","
"
TEL,TE Connectivity Ltd.,Information Technology,"Schaffhausen, Switzerland","0001385157
","
"
FTI,TechnipFMC,Energy,,"0001681459
","
"
TXN,Texas Instruments,Information Technology,"Dallas, Texas",0000097476,"1930
"
TXT,Textron Inc.,Industrials,"Providence, Rhode Island","0000217346
","
"
BK,The Bank of New York Mellon Corp.,Financials,"New York, New York","0001390777
","
"
CLX,The Clorox Company,Consumer Staples,"Oakland, California",0000021076,"1913
"
COO,The Cooper Companies,Health Care,"Pleasanton, California","0000711404
","
"
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania",0000047111,"1894
"
MOS,The Mosaic Company,Materials,"Plymouth, Minnesota","0001285785
","
"
TRV,The Travelers Companies Inc.,Financials,"New York, New York","0000086312
","
"
DIS,The Walt Disney Company,Consumer Discretionary,"Burbank, California","0001001039
","
"
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",0000097745,"2006
"
TIF,Tiffany & Co.,Consumer Discretionary,"New York, New York","0000098246
","
"
TJX,TJX Companies Inc.,Consumer Discretionary,"Framingham, Massachusetts","0000109198
","
"
TMK,Torchmark Corp.,Financials,"McKinney, Texas","0000320335
","
"
TSS,Total System Services,Information Technology,"Columbus, Georgia","0000721683
","
"
TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee","0000916365
","
"
TDG,TransDigm Group,Industrials,"Cleveland, Ohio","0001260221
","
"
TRIP,TripAdvisor,Consumer Discretionary,"Newton, Massachusetts","0001526520
","
"
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,"New York, New York","0001308161
","
"
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,"New York, New York","0001308161
","
"
TWTR,"Twitter, Inc.",Information Technology,"San Francisco, California","0001418091
","2006
"
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas","0000100493
","
"
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota",0000036104,"1968
"
UDR,UDR Inc,Real Estate,"Highlands Ranch, Colorado","0000074208
","
"
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois","0001403568
","
"
UAA,Under Armour Class A,Consumer Discretionary,"Baltimore, Maryland","0001336917
","
"
UA,Under Armour Class C,Consumer Discretionary,"Baltimore, Maryland","0001336917
","
"
UNP,Union Pacific,Industrials,"Omaha, Nebraska","0000100885
","
"
UAL,United Continental Holdings,Industrials,"Chicago, Illinois","0000100517
","
"
UNH,United Health Group Inc.,Health Care,"Minnetonka, Minnesota","0000731766
","
"
UPS,United Parcel Service,Industrials,"Atlanta, Georgia","0001090727
","
"
URI,"United Rentals, Inc.",Industrials,"Stamford, Connecticut","0001067701
","
"
UTX,United Technologies,Industrials,"Hartford, Connecticut","0000101829
","
"
UHS,"Universal Health Services, Inc.",Health Care,"King of Prussia, Pennsylvania","0000352915
","
"
UNM,Unum Group,Financials,"Chattanooga, Tennessee","0000005513
","
"
VFC,V.F. Corp.,Consumer Discretionary,"Greensboro, North Carolina","0000103379
","
"
VLO,Valero Energy,Energy,"San Antonio, Texas",0001035002,"1980
"
VAR,Varian Medical Systems,Health Care,"Palo Alto, California","0000203527
","
"
VTR,Ventas Inc,Real Estate,"Chicago, Illinois","0000740260
","
"
VRSN,Verisign Inc.,Information Technology,"Dulles, Virginia","0001014473
","
"
VRSK,Verisk Analytics,Industrials,"Jersey City, New Jersey","0001442145
","
"
VZ,Verizon Communications,Telecommunication Services,"New York, New York","0000732712
","
"
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Cambridge, Massachusetts","0000875320
","
"
VIAB,Viacom Inc.,Consumer Discretionary,"New York, New York","0001339947
","
"
V,Visa Inc.,Information Technology,"San Francisco, California","0001403161
","
"
VNO,Vornado Realty Trust,Real Estate,"New York, New York","0000899689
","
"
VMC,Vulcan Materials,Materials,"Birmingham, Alabama","0001396009
","
"
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois","0001618921
","
"
WMT,Walmart,Consumer Staples,"Bentonville, Arkansas","0000104169
","
"
WM,Waste Management Inc.,Industrials,"Houston, Texas",0000823768,"1968
"
WAT,Waters Corporation,Health Care,"Milford, Massachusetts",0001000697,"1958
"
WEC,Wec Energy Group Inc,Utilities,"Milwaukee, Wisconsin","0000783325
","
"
WFC,Wells Fargo,Financials,"San Francisco, California","0000072971
","
"
WELL,Welltower Inc.,Real Estate,"Toledo, Ohio","0000766704
","
"
WDC,Western Digital,Information Technology,"Irvine, California","0000106040
","
"
WU,Western Union Co,Information Technology,"Englewood, Colorado",0001365135,"1851
"
WRK,WestRock,Materials,"Richmond, Virginia","0001636023
","
"
WY,Weyerhaeuser,Real Estate,"Federal Way, Washington","0000106535
","
"
WHR,Whirlpool Corp.,Consumer Discretionary,"Benton Harbor, Michigan",0000106640,"1911
"
WMB,Williams Cos.,Energy,"Tulsa, Oklahoma","0000107263
","
"
WLTW,Willis Towers Watson,Financials,"London, United Kingdom","0001140536
","
"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,"Paradise, Nevada","0001174922
","
"
XEL,Xcel Energy Inc,Utilities,"Minneapolis, Minnesota",0000072903,"1909
"
XRX,Xerox,Information Technology,"Norwalk, Connecticut",0000108772,"1906
"
XLNX,Xilinx,Information Technology,"San Jose, California","0000743988
","
"
XL,XL Group,Financials,"Hamilton, Bermuda",0000875159,"1998
"
XYL,Xylem Inc.,Industrials,"White Plains, New York","0001524472
","
"
YUM,Yum! Brands Inc,Consumer Discretionary,"Louisville, Kentucky","0001041061
","
"
ZBH,Zimmer Biomet Holdings,Health Care,"Warsaw, Indiana","0001136869
","
"
ZION,Zions Bancorp,Financials,"Salt Lake City, Utah","0000109380
","
"
ZTS,Zoetis,Health Care,"Florham Park, New Jersey","0001555280
","
"
